Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,Spirit Airlines,Allegiant,Hawaiian,SkyWest,Continental Airlines,Northwest Airlines,TWA,America West Airlines,US Airways,Air Canada,WestJet Airlines,Exchange Income Corporation,IAG,British Airways,Iberia,Air France-KLM,Air France,KLM Royal Dutch,Ryanair,easyJet,Deutsche Lufthansa,Norwegian Air Shuttle,Finnair,Wizz Air,Singapore Airlines,Qantas Airways,Japan Airlines,ANA Holdings,Korean Air,Asiana Airlines,Cathay Pacific,Copa Holdings,Gol Linhas Aereas,LATAM Airlines,LAN Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Spring Airlines,Juneyao Airlines,Indigo,SpiceJet,Jet Airways,Kenya Airlines,Comair,Emirates,Qatar Airways,Aeroflot,Turkish Airlines,Air Arabia,Jazeera Airways,Royal Jordanian,Flynas
Status,public,public,public,public,public,public,public,public,public,public,merged with United 2010,merged with Delta 2008,"bankrupt 2001, acquired by AA",Merged with US Airways 2005,acquired by AA 2013,public,public,public,public,"merged with Iberia, now IAG","merged with BA, now IAG",public,merged with KLM,merged with AF,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,now part of LATAM,public,public,public,public,public,public,public,public,public,public,public,private,private,"taken private 2023, war",public,public,public,public,public
Country,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,CA,CA,CA,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,SG,AU,JP,JP,KR,KR,HK,PA,BR,CL,CL,CN,CN,CN,CN,CN,CN,IN,IN,IN,KE,ZA,AE,QA,RU,TR,AE,KW,JO,SA
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,Latin America,Latin America,Latin America,China,China,China,China,China,China,India,India,India,Africa,Africa,Middle East,Middle East,Russia,Turkey,Middle East,Middle East,Middle East,Middle East
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,IAG,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ,XY
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000'Q1,"18,223 M","16,101 M","4,964 M","18,358 M","2,110 M",,,,518 M,489 M,,"10,410 M","2,482 M",,,"4,934 M",161 M,,"14,200 M",,,"12,900 M",,,373 M,,"16,375 M",,"1,533 M",,"5,462 M","5,973 M","14,764 M","11,153 M","4,427 M",,"3,910 M",,,"1,310 M",,,"1,338 M","1,663 M",240 M,,,,0 M,,253 M,112 M,"1,609 M",,"1,226 M",,,,,
2000'Q2,"18,717 M","16,315 M","5,193 M","18,690 M","2,138 M",,,,548 M,503 M,,"10,687 M","1,654 M",,,"5,359 M",181 M,,"14,000 M",,,"12,700 M",,,392 M,,"16,050 M",,"1,435 M",,"5,529 M","5,969 M","14,427 M","10,878 M","4,463 M",,"4,095 M",,,"1,354 M",,,"1,348 M","1,720 M",255 M,,,,0 M,,266 M,123 M,"1,700 M",,"1,287 M",,,,,
2000'Q3,"19,210 M","16,528 M","5,421 M","19,021 M","2,166 M",,,,578 M,517 M,,"10,963 M",827 M,,,"5,783 M",202 M,,"13,800 M",,,"12,500 M",,,411 M,,"15,725 M",,"1,337 M",,"5,597 M","5,966 M","14,089 M","10,603 M","4,498 M",,"4,280 M",,,"1,398 M",,,"1,358 M","1,777 M",271 M,,,,1 M,,278 M,133 M,"1,791 M",,"1,347 M",,,,,
2000'Q4,"19,703 M","16,741 M","5,650 M","19,352 M","2,194 M",105 M,,,607 M,531 M,,"11,240 M",,,,"6,208 M",222 M,,"13,600 M",,,"12,300 M",,,430 M,,"15,400 M",,"1,239 M",,"5,664 M","5,963 M","13,751 M","10,328 M","4,533 M","1,659 M","4,464 M",,,"1,442 M",,,"1,368 M","1,834 M",286 M,,,,1 M,,291 M,144 M,"1,882 M",,"1,407 M",,,,,
2001'Q1,"19,520 M","16,026 M","5,626 M","18,549 M","2,184 M",159 M,,,608 M,549 M,,"10,906 M",,,,"6,184 M",241 M,,"13,150 M",,,"12,150 M",,,459 M,,"15,150 M",,"1,299 M",,"5,528 M","5,780 M","13,333 M","10,007 M","4,518 M","1,668 M","4,324 M",,,"1,442 M",,,"1,393 M","1,885 M",314 M,,,,1 M,,299 M,144 M,"1,943 M",,"1,445 M",,,,,
2001'Q2,"19,336 M","15,310 M","5,602 M","17,745 M","2,173 M",213 M,,,609 M,566 M,,"10,573 M",,,,"6,160 M",261 M,,"12,700 M",,,"12,000 M",,,487 M,,"14,900 M",,"1,359 M",,"5,391 M","5,596 M","12,914 M","9,686 M","4,503 M","1,676 M","4,184 M",,,"1,442 M",,,"1,418 M","1,936 M",343 M,,,,1 M,,307 M,144 M,"2,004 M",,"1,482 M",,,,,
2001'Q3,"19,153 M","14,595 M","5,579 M","16,942 M","2,163 M",266 M,,,610 M,584 M,,"10,239 M",,,,"6,137 M",281 M,,"12,250 M",,,"11,850 M",,,516 M,,"14,650 M",,"1,419 M",,"5,255 M","5,413 M","12,496 M","9,364 M","4,487 M","1,685 M","4,044 M",,,"1,443 M",,,"1,443 M","1,988 M",371 M,,,,1 M,,315 M,144 M,"2,065 M",,"1,520 M",,,,,
2001'Q4,"18,969 M","13,879 M","5,555 M","16,138 M","2,153 M",320 M,,,612 M,602 M,,"9,905 M",,,,"6,113 M",300 M,,"11,800 M",,,"11,700 M",,,544 M,,"14,400 M",,"1,479 M",,"5,118 M","5,229 M","12,077 M","9,043 M","4,472 M","1,693 M","3,904 M",,,"1,443 M",,,"1,468 M","2,039 M",399 M,,,,1 M,,323 M,144 M,"2,126 M",,"1,558 M",,,,,
2002'Q1,"18,582 M","13,876 M","5,547 M","16,059 M","2,171 M",399 M,,,617 M,645 M,,"9,923 M",,,,"6,155 M",333 M,,"11,725 M",,,"12,050 M",,,638 M,,"14,800 M",,"1,545 M",,"5,327 M","5,521 M","13,393 M","9,312 M","4,715 M","1,813 M","3,989 M",,,"1,449 M",,,"1,503 M","2,074 M",445 M,,,,1 M,,332 M,139 M,"2,291 M",,"1,563 M",,,,,
2002'Q2,"18,195 M","13,873 M","5,538 M","15,980 M","2,188 M",478 M,,,622 M,688 M,,"9,941 M",,,,"6,198 M",365 M,,"11,650 M",,,"12,400 M",,,731 M,,"15,200 M",,"1,611 M",,"5,537 M","5,812 M","14,709 M","9,582 M","4,958 M","1,932 M","4,073 M",,,"1,455 M",,,"1,538 M","2,108 M",491 M,,,,0 M,,341 M,135 M,"2,456 M",,"1,567 M",,,,,
2002'Q3,"17,807 M","13,869 M","5,530 M","15,901 M","2,206 M",556 M,,,627 M,731 M,,"9,958 M",,,,"6,240 M",398 M,,"11,575 M",,,"12,750 M",,,825 M,,"15,600 M",,"1,678 M",,"5,746 M","6,103 M","16,025 M","9,851 M","5,200 M","2,052 M","4,158 M",,,"1,460 M",,,"1,573 M","2,143 M",537 M,,,,0 M,,350 M,130 M,"2,621 M",,"1,572 M",,,,,
2002'Q4,"17,420 M","13,866 M","5,522 M","15,822 M","2,224 M",635 M,,,632 M,774 M,,"9,976 M",,,,"6,282 M",430 M,,"11,500 M",,,"13,100 M",,,918 M,,"16,000 M",55 M,"1,744 M",,"5,955 M","6,395 M","17,341 M","10,120 M","5,443 M","2,171 M","4,243 M",,192 M,"1,466 M",,,"1,607 M","2,177 M",583 M,,,,0 M,,359 M,125 M,"2,786 M",,"1,576 M",,,,,
2003'Q1,"17,425 M","13,977 M","5,626 M","15,599 M","2,279 M",726 M,,,513 M,803 M,,"10,001 M",,,,"6,330 M",489 M,,"11,725 M",,,"13,475 M",,,"1,017 M",,"16,800 M",77 M,"1,813 M",,"5,920 M","6,694 M","17,636 M","10,509 M","5,416 M","2,155 M","4,142 M",,265 M,"1,514 M",,,"1,637 M","2,161 M",599 M,,,,0 M,,367 M,139 M,"3,042 M",,"1,621 M",,,,,
2003'Q2,"17,430 M","14,087 M","5,729 M","15,375 M","2,334 M",817 M,,,395 M,831 M,,"10,027 M",,,,"6,378 M",548 M,,"11,950 M",,,"13,850 M",,,"1,116 M",,"17,600 M",99 M,"1,881 M",,"5,885 M","6,993 M","17,931 M","10,897 M","5,389 M","2,140 M","4,041 M",,338 M,"1,562 M",,,"1,666 M","2,145 M",615 M,,,,0 M,,376 M,153 M,"3,299 M",,"1,666 M",,,,,
2003'Q3,"17,435 M","14,198 M","5,833 M","15,152 M","2,390 M",908 M,,,276 M,860 M,,"10,052 M",,,,"6,427 M",606 M,,"12,175 M",,,"14,225 M",,,"1,214 M",,"18,400 M",121 M,"1,949 M",,"5,849 M","7,292 M","18,226 M","11,286 M","5,362 M","2,124 M","3,939 M",,412 M,"1,610 M",,,"1,696 M","2,129 M",631 M,,,,0 M,,384 M,167 M,"3,555 M",,"1,710 M",,,,,
2003'Q4,"17,440 M","14,308 M","5,937 M","14,928 M","2,445 M",998 M,,50 M,157 M,888 M,,"10,077 M",,,,"6,475 M",665 M,,"12,400 M",,,"14,600 M",,,"1,313 M","1,560 M","19,200 M",144 M,"2,018 M",,"5,814 M","7,591 M","18,521 M","11,674 M","5,335 M","2,108 M","3,838 M",,485 M,"1,658 M",,"2,996 M","1,725 M","2,113 M",648 M,,,,0 M,,393 M,181 M,"3,811 M",,"1,755 M",,,,,
2004'Q1,"17,741 M","14,540 M","6,085 M","15,294 M","2,515 M","1,065 M",,60 M,118 M,955 M,,"10,378 M",,,,"6,681 M",718 M,,"12,850 M",,,"16,300 M",,,"1,412 M","1,660 M","20,000 M",158 M,"2,093 M",,"6,181 M","7,649 M","18,851 M","11,766 M","5,792 M","2,319 M","4,135 M",,520 M,"1,779 M",,"3,273 M","1,941 M","2,311 M",734 M,,,,0 M,,436 M,194 M,"4,157 M",,"1,859 M",,,,,
2004'Q2,"18,043 M","14,772 M","6,234 M","15,660 M","2,584 M","1,131 M",,70 M,79 M,"1,022 M",,"10,678 M",,,,"6,887 M",770 M,,"13,300 M",,,"18,000 M",,,"1,512 M","1,761 M","20,800 M",172 M,"2,167 M",,"6,548 M","7,706 M","19,181 M","11,859 M","6,250 M","2,529 M","4,432 M",,554 M,"1,900 M",,"3,550 M","2,157 M","2,508 M",821 M,,,,0 M,,478 M,208 M,"4,502 M",,"1,964 M",,,,,
2004'Q3,"18,344 M","15,003 M","6,382 M","16,025 M","2,654 M","1,198 M",,80 M,39 M,"1,089 M",,"10,979 M",,,,"7,092 M",822 M,,"13,750 M",,,"19,700 M",,,"1,611 M","1,862 M","21,600 M",186 M,"2,242 M",,"6,915 M","7,764 M","19,510 M","11,951 M","6,707 M","2,740 M","4,729 M",,589 M,"2,021 M",,"3,827 M","2,373 M","2,705 M",908 M,,,,0 M,,521 M,222 M,"4,848 M",,"2,068 M",,,,,
2004'Q4,"18,645 M","15,235 M","6,530 M","16,391 M","2,724 M","1,265 M",,90 M,,"1,156 M",,"11,279 M",,,,"7,298 M",875 M,,"14,200 M",,,"21,400 M",,,"1,710 M","1,962 M","22,400 M",200 M,"2,317 M",,"7,281 M","7,822 M","19,840 M","12,043 M","7,164 M","2,950 M","5,026 M",406 M,623 M,"2,142 M",,"4,105 M","2,589 M","2,902 M",994 M,,,,1 M,,564 M,235 M,"5,193 M",,"2,173 M",,50 M,,,
2005'Q1,"19,162 M","15,546 M","6,794 M","16,638 M","2,787 M","1,374 M",,101 M,,"1,358 M",,"11,531 M",,,,"7,504 M",954 M,,"14,525 M",,,"22,700 M",,,"1,795 M","2,064 M","22,400 M",223 M,"2,298 M",,"7,522 M","8,265 M","19,564 M","11,947 M","7,304 M","2,991 M","5,411 M",457 M,753 M,"2,247 M",,"4,269 M","2,799 M","3,365 M","1,053 M",,,,3 M,,608 M,241 M,"5,543 M",,"2,280 M",,66 M,,,
2005'Q2,"19,679 M","15,858 M","7,057 M","16,885 M","2,850 M","1,483 M",,111 M,,"1,560 M",,"11,783 M",,,,"7,710 M","1,034 M",,"14,850 M",,,"24,000 M",,,"1,879 M","2,166 M","22,400 M",246 M,"2,279 M",,"7,763 M","8,708 M","19,287 M","11,851 M","7,445 M","3,031 M","5,796 M",507 M,882 M,"2,352 M",,"4,434 M","3,010 M","3,828 M","1,112 M",,,,5 M,,652 M,246 M,"5,893 M",,"2,387 M",,81 M,,,
2005'Q3,"20,195 M","16,169 M","7,321 M","17,132 M","2,912 M","1,592 M",,122 M,,"1,762 M",,"12,034 M",,,,"7,916 M","1,113 M",,"15,175 M",,,"25,300 M",,,"1,964 M","2,268 M","22,400 M",269 M,"2,260 M",,"8,004 M","9,152 M","19,011 M","11,755 M","7,585 M","3,072 M","6,182 M",558 M,"1,011 M","2,458 M",,"4,598 M","3,221 M","4,291 M","1,171 M",,,,7 M,,696 M,252 M,"6,243 M",,"2,495 M",,97 M,,,
2005'Q4,"20,712 M","16,480 M","7,584 M","17,379 M","2,975 M","1,701 M",,133 M,509 M,"1,964 M",,"12,286 M",,,,"8,122 M","1,193 M",49 M,"15,500 M",,,"26,600 M",,,"2,049 M","2,369 M","22,400 M",291 M,"2,241 M",,"8,245 M","9,595 M","18,734 M","11,659 M","7,725 M","3,112 M","6,567 M",609 M,"1,141 M","2,563 M",,"4,763 M","3,431 M","4,754 M","1,231 M",,,,10 M,,741 M,258 M,"6,593 M",,"2,602 M",,113 M,7 M,,
2006'Q1,"21,175 M","16,743 M","7,960 M","17,869 M","3,065 M","1,867 M",,160 M,604 M,"2,252 M",,"12,357 M",,,,"8,251 M","1,272 M",55 M,"15,525 M",,,"27,125 M",,,"2,281 M","2,534 M","23,050 M",336 M,"2,341 M",,"8,572 M","9,733 M","18,942 M","11,910 M","8,028 M","3,315 M","6,890 M",670 M,"1,312 M","2,695 M",,"5,065 M","3,786 M","5,050 M","1,319 M",,,,12 M,,769 M,263 M,"7,062 M",,"2,703 M",,138 M,25 M,,
2006'Q2,"21,638 M","17,006 M","8,335 M","18,360 M","3,155 M","2,033 M",,188 M,698 M,"2,539 M",,"12,427 M",,,,"8,381 M","1,352 M",61 M,"15,550 M",,,"27,650 M",,,"2,514 M","2,698 M","23,700 M",381 M,"2,441 M",,"8,899 M","9,871 M","19,150 M","12,161 M","8,331 M","3,517 M","7,212 M",730 M,"1,483 M","2,827 M",,"5,367 M","4,141 M","5,346 M","1,408 M",,,,13 M,,798 M,267 M,"7,530 M",,"2,805 M",,162 M,43 M,,
2006'Q3,"22,100 M","17,269 M","8,711 M","18,850 M","3,245 M","2,198 M",,216 M,793 M,"2,827 M",,"12,498 M",,,,"8,510 M","1,431 M",67 M,"15,575 M",,,"28,175 M",,,"2,746 M","2,863 M","24,350 M",425 M,"2,541 M",,"9,226 M","10,008 M","19,358 M","12,411 M","8,633 M","3,720 M","7,535 M",791 M,"1,654 M","2,959 M",,"5,669 M","4,496 M","5,642 M","1,496 M",,,,15 M,,827 M,272 M,"7,998 M",,"2,907 M",,187 M,60 M,,
2006'Q4,"22,563 M","17,532 M","9,086 M","19,340 M","3,334 M","2,364 M",543 M,243 M,888 M,"3,115 M",,"12,568 M",,,,"8,639 M","1,511 M",73 M,"15,600 M",,,"28,700 M",,,"2,979 M","3,027 M","25,000 M",470 M,"2,641 M",,"9,553 M","10,146 M","19,566 M","12,662 M","8,936 M","3,922 M","7,858 M",851 M,"1,825 M","3,091 M",,"5,971 M","4,850 M","5,938 M","1,585 M",,,,17 M,,856 M,277 M,"8,467 M",,"3,008 M",,212 M,78 M,,
2007'Q1,"22,656 M","17,938 M","9,280 M","19,541 M","3,377 M","2,484 M",598 M,273 M,912 M,"3,180 M",,"12,558 M",,,,"9,168 M","1,671 M",82 M,"16,075 M",,,"29,775 M",,,"3,307 M","3,183 M","26,975 M",548 M,"2,799 M",,"10,059 M","10,780 M","20,245 M","13,212 M","9,124 M","3,978 M","8,324 M",897 M,"2,070 M","3,207 M",,"6,229 M","5,113 M","6,333 M","1,638 M",,,,21 M,,883 M,286 M,"9,176 M",,"3,212 M",,215 M,91 M,,
2007'Q2,"22,749 M","18,343 M","9,474 M","19,742 M","3,420 M","2,604 M",653 M,302 M,935 M,"3,244 M",,"12,548 M",,,,"9,696 M","1,832 M",90 M,"16,550 M",,,"30,850 M",,,"3,635 M","3,339 M","28,950 M",626 M,"2,956 M",,"10,564 M","11,413 M","20,924 M","13,763 M","9,312 M","4,034 M","8,790 M",943 M,"2,315 M","3,324 M",,"6,487 M","5,376 M","6,727 M","1,691 M",,,,26 M,,909 M,294 M,"9,884 M",,"3,415 M",,218 M,104 M,,
2007'Q3,"22,842 M","18,749 M","9,667 M","19,942 M","3,463 M","2,723 M",708 M,331 M,959 M,"3,309 M",,"12,538 M",,,,"10,225 M","1,992 M",99 M,"17,025 M",,,"31,925 M",,,"3,963 M","3,495 M","30,925 M",703 M,"3,114 M",,"11,070 M","12,046 M","21,603 M","14,313 M","9,499 M","4,090 M","9,256 M",989 M,"2,560 M","3,440 M",,"6,745 M","5,638 M","7,122 M","1,744 M",,,,30 M,,936 M,303 M,"10,593 M",,"3,618 M",,222 M,118 M,,
2007'Q4,"22,935 M","19,154 M","9,861 M","20,143 M","3,506 M","2,843 M",763 M,361 M,983 M,"3,374 M",,"12,528 M",,,,"10,753 M","2,153 M",107 M,"17,500 M",,,"33,000 M",,,"4,291 M","3,651 M","32,900 M",781 M,"3,272 M",,"11,575 M","12,679 M","22,282 M","14,863 M","9,687 M","4,146 M","9,722 M","1,035 M","2,806 M","3,557 M",,"7,003 M","5,901 M","7,517 M","1,797 M",,,,35 M,,963 M,311 M,"11,301 M",,"3,821 M",,225 M,131 M,,
2008'Q1,"23,143 M","20,040 M","10,152 M","20,156 M","3,545 M","2,980 M",769 M,396 M,"1,040 M","3,405 M",,"12,789 M",,,,"10,346 M","2,135 M",113 M,"17,275 M",,,"33,925 M",,,"4,197 M","3,801 M","33,825 M",808 M,"3,248 M",,"11,313 M","13,406 M","21,684 M","14,696 M","9,346 M","3,992 M","10,084 M","1,099 M","2,790 M","3,738 M",,"7,204 M","5,943 M","7,700 M","1,830 M",,,,149 M,,946 M,319 M,"11,597 M",,"4,024 M",,310 M,144 M,,
2008'Q2,"23,351 M","20,926 M","10,442 M","20,169 M","3,584 M","3,118 M",775 M,432 M,"1,097 M","3,435 M",,"13,050 M",,,,"9,939 M","2,117 M",118 M,"17,050 M",,,"34,850 M",,,"4,103 M","3,952 M","34,750 M",835 M,"3,225 M",,"11,052 M","14,133 M","21,086 M","14,530 M","9,006 M","3,838 M","10,446 M","1,162 M","2,775 M","3,920 M",,"7,405 M","5,985 M","7,882 M","1,862 M",,,,263 M,,929 M,328 M,"11,892 M",,"4,228 M",,394 M,157 M,,
2008'Q3,"23,558 M","21,811 M","10,733 M","20,181 M","3,623 M","3,255 M",781 M,468 M,"1,154 M","3,466 M",,"13,311 M",,,,"9,532 M","2,100 M",123 M,"16,825 M",,,"35,775 M",,,"4,009 M","4,102 M","35,675 M",862 M,"3,202 M",,"10,790 M","14,860 M","20,487 M","14,363 M","8,665 M","3,684 M","10,807 M","1,225 M","2,759 M","4,101 M",,"7,606 M","6,027 M","8,064 M","1,894 M",,,,377 M,,912 M,336 M,"12,187 M",,"4,431 M",,479 M,170 M,,
